nama_kabkota,value,lat,lon
Kab. Sragen,70.999371,-7.39103,110.962
Kab. Grobogan,70.83003,-7.10693,110.894
Kab. Blora,70.612937,-7.11381,111.361
Kab. Rembang,72.070108,-6.76817,111.464
Kab. Pati,72.963554,-6.70743,111.034
Kab. Kudus,72.952936,-6.79816,110.87
Kab. Jepara,72.635091,-6.60681,110.789
Kab. Demak,72.579063,-6.92854,110.637
Kab. Semarang,74.095064,-7.28739,110.456
Kab. Temanggung,74.112804,-7.24573,110.137
Kab. Kendal,70.407544,-7.02297,110.142
Kab. Batang,70.412679,-7.03709,109.88
Kab. Pekalongan,71.400514,-7.04079,109.657
Kab. Pemalang,69.888816,-7.00981,109.392
Kab. Tegal,70.587812,-7.04973,109.157
Kab. Brebes,68.20206,-7.04457,108.945
Kota Magelang,76.600677,-7.4917,110.226
Kota Surakarta,77.86181,-7.55914,110.824
Kota Salatiga,76.534952,-7.34305,110.5
Kota Semarang,77.107478,-7.02842,110.389
Kota Pekalongan,74.466163,-6.90084,109.689
Kota Tegal,73.894739,-6.87444,109.108
Kab. Kulon Progo,74.487269,-7.81337,110.148
Kab. Bantul,74.528876,-7.90749,110.358
Kab. Gunung Kidul,70.453902,-7.99321,110.585
Kab. Sleman,78.196404,-7.69031,110.387
Kota Yogyakarta,79.516753,-7.80279,110.376
Kab. Pacitan,72.069876,-8.10083,111.161
Kab. Ponorogo,70.285628,-7.97311,111.531
Kab. Trenggalek,73.238863,-8.13936,111.617
Kab. Tulungagung,73.336498,-8.0756,111.916
Kab. Blitar,73.667934,-8.1394,112.215
Kab. Kediri,71.752097,-7.80293,112.059
Kab. Malang,70.536056,-8.09136,112.622
Kab. Lumajang,67.820876,-8.12431,113.139
Kab. Jember,64.945544,-8.26315,113.673
Kab. Banyuwangi,68.886785,-8.33103,114.218
Kab. Bondowoso,62.938244,-7.94327,113.933
Kab. Situbondo,64.258793,-7.79577,114.261
Kab. Probolinggo,62.994043,-7.86336,113.276
Kab. Pasuruan,67.614564,-7.74862,112.83
Kab. Sidoarjo,76.349179,-7.45533,112.663
