nama_kabkota,value,lat,lon
Kab. Sukabumi,97.328996,-7.07493,106.717
Kab. Cianjur,97.546998,-7.05156,107.126
Kab. Bandung,98.724561,-7.07311,107.592
Kab. Garut,98.944619,-7.3425,107.778
Kab. Tasikmalaya,98.896208,-7.42885,108.164
Kab. Ciamis,97.594724,-7.4369,108.486
Kab. Kuningan,95.450242,-6.98826,108.591
Kab. Cirebon,92.333937,-6.75547,108.576
Kab. Majalengka,95.090776,-6.81747,108.228
Kab. Sumedang,97.729505,-6.81018,107.979
Kab. Indramayu,85.654573,-6.44806,108.198
Kab. Subang,92.452632,-6.4939,107.726
Kab. Purwakarta,95.706874,-6.58964,107.431
Kab. Karawang,93.206658,-6.28699,107.364
Kab. Bekasi,94.031707,-6.20242,107.135
Kab. Bandung Barat,98.505222,-6.90356,107.464
Kota Bogor,98.766201,-6.59621,106.794
Kota Sukabumi,99.662361,-6.94092,106.906
Kota Bandung,99.673,-6.90992,107.647
Kota Cirebon,97.050508,-6.74773,108.555
Kota Bekasi,98.506787,-6.28521,106.973
Kota Depok,98.94,-6.39243,106.825
Kota Cimahi,99.652087,-6.88191,107.549
Kota Tasikmalaya,99.551412,-7.36021,108.218
Kota Banjar,97.262641,-7.36996,108.559
Kab. Cilacap,90.276279,-7.4436,108.815
Kab. Banyumas,93.97592,-7.45231,109.168
Kab. Purbalingga,93.4773,-7.32767,109.409
Kab. Banjarnegara,88.429646,-7.35284,109.639
Kab. Kebumen,90.736931,-7.63749,109.611
Kab. Purworejo,91.510718,-7.70103,109.969
Kab. Wonosobo,90.47158,-7.39755,109.903
Kab. Magelang,91.35,-7.51056,110.247
Kab. Boyolali,85.967538,-7.38235,110.709
Kab. Klaten,89.897087,-7.67597,110.609
Kab. Sukoharjo,90.689098,-7.68287,110.831
Kab. Wonogiri,82.178893,-7.96073,111.035
Kab. Karanganyar,86.914346,-7.61315,110.984
Kab. Sragen,84.36344,-7.39103,110.962
Kab. Grobogan,90.355139,-7.10693,110.894
Kab. Blora,83.19,-7.11381,111.361
Kab. Rembang,91.172352,-6.76817,111.464
Kab. Pati,86.415045,-6.70743,111.034
Kab. Kudus,93.710189,-6.79816,110.87
Kab. Jepara,93.091697,-6.60681,110.789
Kab. Demak,91.35872,-6.92854,110.637
Kab. Semarang,93.617074,-7.28739,110.456
Kab. Temanggung,95.942047,-7.24573,110.137
Kab. Kendal,89.146094,-7.02297,110.142
Kab. Batang,88.088933,-7.03709,109.88
Kab. Pekalongan,92.054107,-7.04079,109.657
Kab. Pemalang,90.758396,-7.00981,109.392
Kab. Tegal,89.256363,-7.04973,109.157
Kab. Brebes,86.139925,-7.04457,108.945
Kota Magelang,97.250364,-7.4917,110.226
Kota Surakarta,96.683315,-7.55914,110.824
Kota Salatiga,96.504525,-7.34305,110.5
Kota Semarang,96.437836,-7.02842,110.389
Kota Pekalongan,95.679426,-6.90084,109.689
Kota Tegal,94.88,-6.87444,109.108
Kab. Kulon Progo,90.687531,-7.81337,110.148
Kab. Bantul,91.031805,-7.90749,110.358
Kab. Gunung Kidul,84.664741,-7.99321,110.585
Kab. Sleman,92.608625,-7.69031,110.387
Kota Yogyakarta,98.028909,-7.80279,110.376
Kab. Pacitan,91.582708,-8.10083,111.161
Kab. Ponorogo,85.73,-7.97311,111.531
Kab. Trenggalek,92.833825,-8.13936,111.617
Kab. Tulungagung,93.548501,-8.0756,111.916
Kab. Blitar,92.004289,-8.1394,112.215
Kab. Kediri,92.806188,-7.80293,112.059
Kab. Malang,89.55,-8.09136,112.622
Kab. Lumajang,86.320005,-8.12431,113.139
Kab. Jember,83.481303,-8.26315,113.673
Kab. Banyuwangi,86.65997,-8.33103,114.218
Kab. Bondowoso,76.722239,-7.94327,113.933
Kab. Situbondo,78.238365,-7.79577,114.261
Kab. Probolinggo,78.910813,-7.86336,113.276
Kab. Pasuruan,89.992567,-7.74862,112.83
Kab. Sidoarjo,97.423352,-7.45533,112.663
Kab. Mojokerto,94.110952,-7.54086,112.496
Kab. Jombang,92.519845,-7.55994,112.257
Kab. Nganjuk,90.477932,-7.61615,111.945
Kab. Madiun,89.534749,-7.61259,111.647
Kab. Magetan,90.544022,-7.65453,111.347
Kab. Ngawi,85.139566,-7.4286,111.394
Kab. Bojonegoro,84.782286,-7.22605,111.791
Kab. Tuban,85.787066,-6.95912,111.893
Kab. Lamongan,87.146349,-7.12486,112.312
Kab. Gresik,94.469517,-7.12652,112.517
Kab. Bangkalan,82.841518,-7.04863,112.909
Kab. Sampang,66.030781,-7.05851,113.262
Kab. Pamekasan,80.844049,-7.07227,113.5
Kab. Sumenep,78.635554,-7.00034,113.852
Kota Kediri,97.528632,-7.82422,112.016
Kota Blitar,97.236938,-8.09311,112.165
Kota Malang,97.202759,-7.97649,112.627
Kota Probolinggo,92.491087,-7.78127,113.209
Kota Pasuruan,96.409336,-7.65633,112.905
Kota Mojokerto,97.124784,-7.46807,112.438
Kota Madiun,97.786684,-7.63149,111.53
Kota Surabaya,98.058146,-7.27981,112.711
Kota Batu,98.257137,-7.83708,112.531
Kab. Pandeglang,96.35,-6.55064,105.715
Kab. Lebak,94.596147,-6.65249,106.189
Kab. Tangerang,95.77766,-6.18755,106.472
