kode_provinsi,nama_provinsi,tahun,tingkat_pendidikan,persen_angka_partisipasi_murni
16,"Prov. Sumatera Selatan",2007,"SM/SMK/MA/Paket/C",42.72
16,"Prov. Sumatera Selatan",2007,"SMP/Mts/Paket/B",65.15
16,"Prov. Sumatera Selatan",2008,"SD/MI/Paket/A",92.97
16,"Prov. Sumatera Selatan",2008,"SM/SMK/MA/Paket/C",43.05
16,"Prov. Sumatera Selatan",2008,"SMP/Mts/Paket/B",65.87
16,"Prov. Sumatera Selatan",2009,"SD/MI/Paket/A",93.61
16,"Prov. Sumatera Selatan",2009,"SM/SMK/MA/Paket/C",43.01
16,"Prov. Sumatera Selatan",2009,"SMP/Mts/Paket/B",65.86
16,"Prov. Sumatera Selatan",2010,"SD/MI/Paket/A",94.17
16,"Prov. Sumatera Selatan",2010,"SM/SMK/MA/Paket/C",43.49
16,"Prov. Sumatera Selatan",2010,"SMP/Mts/Paket/B",66.27
16,"Prov. Sumatera Selatan",2011,"SD/MI/Paket/A",89.79
16,"Prov. Sumatera Selatan",2011,"SM/SMK/MA/Paket/C",45.34
16,"Prov. Sumatera Selatan",2011,"SMP/Mts/Paket/B",64.12
16,"Prov. Sumatera Selatan",2012,"SD/MI/Paket/A",92.67
16,"Prov. Sumatera Selatan",2012,"SM/SMK/MA/Paket/C",48.98
16,"Prov. Sumatera Selatan",2012,"SMP/Mts/Paket/B",67.75
17,"Prov. Bengkulu",2003,"SD/MI",91.99
17,"Prov. Bengkulu",2003,"SM/MA",42.54
17,"Prov. Bengkulu",2003,"SMP/Mts",60.44
17,"Prov. Bengkulu",2004,"SD/MI",94.72
17,"Prov. Bengkulu",2004,"SM/MA",49.01
17,"Prov. Bengkulu",2004,"SMP/Mts",67.02
17,"Prov. Bengkulu",2005,"SD/MI",92.64
17,"Prov. Bengkulu",2005,"SM/MA",45.41
17,"Prov. Bengkulu",2005,"SMP/Mts",61.87
17,"Prov. Bengkulu",2006,"SD/MI",93.89
17,"Prov. Bengkulu",2006,"SM/MA",47.1
17,"Prov. Bengkulu",2006,"SMP/Mts",66.73
17,"Prov. Bengkulu",2007,"SD/MI/Paket/A",94.3
17,"Prov. Bengkulu",2007,"SM/SMK/MA/Paket/C",48.67
17,"Prov. Bengkulu",2007,"SMP/Mts/Paket/B",68.92
17,"Prov. Bengkulu",2008,"SD/MI/Paket/A",94.4
17,"Prov. Bengkulu",2008,"SM/SMK/MA/Paket/C",48.67
17,"Prov. Bengkulu",2008,"SMP/Mts/Paket/B",69.7
17,"Prov. Bengkulu",2009,"SD/MI/Paket/A",94.98
17,"Prov. Bengkulu",2009,"SM/SMK/MA/Paket/C",48.99
17,"Prov. Bengkulu",2009,"SMP/Mts/Paket/B",69.84
17,"Prov. Bengkulu",2010,"SD/MI/Paket/A",95.53
17,"Prov. Bengkulu",2010,"SM/SMK/MA/Paket/C",49.97
17,"Prov. Bengkulu",2010,"SMP/Mts/Paket/B",70.39
17,"Prov. Bengkulu",2011,"SD/MI/Paket/A",92.75
17,"Prov. Bengkulu",2011,"SM/SMK/MA/Paket/C",49.91
17,"Prov. Bengkulu",2011,"SMP/Mts/Paket/B",68.55
17,"Prov. Bengkulu",2012,"SD/MI/Paket/A",94.04
17,"Prov. Bengkulu",2012,"SM/SMK/MA/Paket/C",49.59
17,"Prov. Bengkulu",2012,"SMP/Mts/Paket/B",71.47
18,"Prov. Lampung",2003,"SD/MI",92.06
18,"Prov. Lampung",2003,"SM/MA",35.81
18,"Prov. Lampung",2003,"SMP/Mts",63.24
18,"Prov. Lampung",2004,"SD/MI",92.73
18,"Prov. Lampung",2004,"SM/MA",35.66
18,"Prov. Lampung",2004,"SMP/Mts",63.65
18,"Prov. Lampung",2005,"SD/MI",93.54
18,"Prov. Lampung",2005,"SM/MA",39.64
18,"Prov. Lampung",2005,"SMP/Mts",64.91
18,"Prov. Lampung",2006,"SD/MI",93.94
18,"Prov. Lampung",2006,"SM/MA",39.87
18,"Prov. Lampung",2006,"SMP/Mts",66.65
18,"Prov. Lampung",2007,"SD/MI/Paket/A",94.04
18,"Prov. Lampung",2007,"SM/SMK/MA/Paket/C",40.72
